i_,i0_,name,mult,inchi,path
782,674,CC5H9-B,2,"InChI=1S/C5H9/c1-4-5(2)3/h4H,1H2,2-3H3",
783,675,AC5H9O-C,2,"InChI=1S/C5H9O/c1-4(2)5(3)6/h5H,1H2,2-3H3/t5-/m0/s1",
784,676,CC5H9O-B,2,"InChI=1S/C5H9O/c1-4-5(2,3)6/h4H,1H2,2-3H3",
785,677,AC5H10,1,"InChI=1S/C5H10/c1-4-5(2)3/h2,4H2,1,3H3",
786,678,AC5H9-A2,2,"InChI=1S/C5H9/c1-4-5(2)3/h2-4H2,1H3",
787,679,AC5H9-C,2,"InChI=1S/C5H9/c1-4-5(2)3/h4H,2H2,1,3H3",
788,680,AC5H9-D,2,"InChI=1S/C5H9/c1-4-5(2)3/h1-2,4H2,3H3",
789,681,B2E2M1OJ,2,"InChI=1S/C5H9O/c1-3-5(2)4-6/h3H,4H2,1-2H3/b5-3-",
790,681,B2E2M1OJ,2,"InChI=1S/C5H9O/c1-3-5(2)4-6/h3H,4H2,1-2H3/b5-3+",
791,682,B13DE2M,1,"InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3",
792,683,B13DE2MJ,2,"InChI=1S/C5H7/c1-4-5(2)3/h4H,1-3H2",
793,684,B12DE3M,1,"InChI=1S/C5H8/c1-4-5(2)3/h1H2,2-3H3",
794,685,B2E3M1OJ,2,"InChI=1S/C5H9O/c1-5(2)3-4-6/h3H,4H2,1-2H3",
795,686,TC4H8CHO,2,"InChI=1S/C5H9O/c1-5(2,3)4-6/h4H,1H2,2-3H3",
796,687,O2C4H8CHO,2,"InChI=1S/C5H9O3/c1-5(2,3-6)4-8-7/h3H,4H2,1-2H3",
797,688,O2HC4H8CO,2,"InChI=1S/C5H9O3/c1-5(2,3-6)4-8-7/h7H,4H2,1-2H3",
798,689,PC4H8CHO-1O2,2,"InChI=1S/C5H9O3/c1-2-3-5(4-6)8-7/h4-5H,2-3H2,1H3/t5-/m0/s1",
799,690,PC4H8CHO-2O2,2,"InChI=1S/C5H9O3/c1-2-5(8-7)3-4-6/h4-5H,2-3H2,1H3/t5-/m0/s1",
800,691,PC4H8CHO-3O2,2,"InChI=1S/C5H9O3/c1-5(8-7)3-2-4-6/h4-5H,2-3H2,1H3/t5-/m0/s1",
801,692,PC4H8CHO-4O2,2,"InChI=1S/C5H9O3/c6-4-2-1-3-5-8-7/h4H,1-3,5H2",
802,693,C4H7CHO-2,1,"InChI=1S/C5H8O/c1-2-3-4-5-6/h3-5H,2H2,1H3/b4-3-",
803,693,C4H7CHO-2,1,"InChI=1S/C5H8O/c1-2-3-4-5-6/h3-5H,2H2,1H3/b4-3+",
804,694,C4H7CHO-3,1,"InChI=1S/C5H8O/c1-2-3-4-5-6/h2-3,5H,4H2,1H3/b3-2-",
805,694,C4H7CHO-3,1,"InChI=1S/C5H8O/c1-2-3-4-5-6/h2-3,5H,4H2,1H3/b3-2+",
806,695,C4H7CHO-4,1,"InChI=1S/C5H8O/c1-2-3-4-5-6/h2,5H,1,3-4H2",
807,696,NC3H7COCH3,1,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",
808,697,C2H5COC2H5,1,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3",
809,698,NC3H7COCH2,2,"InChI=1S/C5H9O/c1-3-4-5(2)6/h2-4H2,1H3",
810,699,CH3CH2CHCOCH3,2,"InChI=1S/C5H9O/c1-3-4-5(2)6/h4H,3H2,1-2H3",
